votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,total_area,pop_density,white,black,native_american,hawaiian_pacific,multi,voter_turnout,democrat,county,state,education,religion,age_young,age_adult,age_old,ethnic_male,ethnic_female
672644,0.033,1.4340874782485442,2.466595936309235,0.13,0.05988668575,0.07826501976,3.370791949508409,-0.1573375840835792,1.0549115152100308,0.755544092,0.127097353,0.011581582,0.000598455,0.015273691,0.005499280949999999,1,Hennepin County,MN,Educated,MAINLINE CHRISTIAN,0.310870549,0.43550376999999996,0.21102416799999998,BLACK MALE RATE,BLACK FEMALE RATE
9176,0.057999999999999996,-0.5344786864082448,-0.8567733597462044,0.20600000000000002,0.07236986258,0.103225122,-0.21047831098326017,-0.20462641297061573,-0.10584769015570443,0.846335408,0.103454618,0.024430616,0.001532661,0.006988934,0.00281273948,0,Titus County,TX,Uneducated,NON-CATHOLIC CHRISTIAN,0.399166232,0.368574319,0.19648713899999998,BLACK MALE RATE,BLACK FEMALE RATE
74189,0.08,-0.7805287874590051,-0.5882306673800842,0.20800000000000002,0.08571618906999999,0.1350878097,0.32619538406834514,3.2026498980724996,-0.1433008866327168,0.91874942,0.013661429,0.029628255,0.002212595,0.011820042,0.0036236244499999997,0,Mohave County,AZ,Uneducated,OTHER,0.24845533500000003,0.312957599,0.34868147899999996,NATIVE AMERICAN MALE RATE,NATIVE AMERICAN FEMALE RATE
1970,0.08800000000000001,-1.5395139782002618,-2.1377448047819816,0.419,0.1322330483,0.2337434095,-0.2888186279062306,-0.2652045241561263,-0.12463226547854037,0.690997888,0.28313094,0.005015839,0.000263992,0.009239704,0.00260031679,0,Lake County,TN,Uneducated,MAINLINE CHRISTIAN,0.267027456,0.46436114,0.21990496199999998,BLACK MALE RATE,BLACK FEMALE RATE
8596,0.063,0.3312439641638357,-0.1660345468541201,0.155,0.040104822340000006,0.045423859579999996,-0.19098435488664148,0.16734279427514584,-0.13976428448860265,0.932895841,0.008116643,0.021463463,0.002861795,0.011126462,0.0021206887999999998,0,Douglas County,WA,Educated,MAINLINE CHRISTIAN,0.348694922,0.360857551,0.237282282,NATIVE AMERICAN MALE RATE,NATIVE AMERICAN FEMALE RATE
10035,0.087,-1.0138464572053913,-1.1482939049535796,0.235,0.09780880356999999,0.129005059,-0.230490230158057,-0.1685618520201739,-0.12515405923750803,0.915790685,0.061766286,0.003145861,0.000191821,0.008209929,0.00384984271,0,McNairy County,TN,Uneducated,MAINLINE CHRISTIAN,0.293907773,0.362848154,0.26985344899999997,BLACK MALE RATE,BLACK FEMALE RATE
3453,0.042,-0.25089271644718697,-0.5117547602137692,0.20800000000000002,0.08864360492,0.1682803135,-0.28306987719904336,-0.0750167014270405,-0.14579390125889566,0.945021186,0.025105932,0.011864407,0.000423729,0.006355932,0.00365783898,0,Stephens County,TX,Uneducated,CATHOLIC,0.317584746,0.35582627099999997,0.26832627,BLACK MALE RATE,BLACK FEMALE RATE
7819,0.063,0.2894088327351782,0.17512517662863863,0.139,0.05138389761,0.06796917997,-0.2616319609077808,-0.18392921839167842,-0.13309691979068247,0.979285312,0.004943989,0.002440703,0.000187746,0.004255585,0.0048932974499999995,0,Clark County,IL,Educated,MAINLINE CHRISTIAN,0.29983102899999997,0.367044245,0.273421365,MULTI MALE RATE,BLACK FEMALE RATE
5735,0.095,-1.5293445687818332,-1.488927418065928,0.33,0.10021786490000001,0.142907427,-0.2694877342601495,-0.18642553322154518,-0.13564791150119107,0.978344705,0.005487986,0.001483239,0.00111243,0.00378226,0.00425318896,0,Breathitt County,KY,Uneducated,NON-CATHOLIC CHRISTIAN,0.300133491,0.400326313,0.243918718,BLACK MALE RATE,BLACK FEMALE RATE
25793,0.06,-0.4963640706204758,-0.46948252712413174,0.195,0.09436230316,0.1503564857,-0.09949992552916238,-0.19931488235879447,-0.058132549752327956,0.602368017,0.357524762,0.004156931,0.001677107,0.007984175,0.00369723206,0,Troup County,GA,Uneducated,MAINLINE CHRISTIAN,0.355646976,0.382724367,0.213795278,BLACK MALE RATE,BLACK FEMALE RATE
